QuestionID,StudentID,RoleName,Skill,Difficulty,QuestionText,OptionA,OptionB,OptionC,OptionD,CorrectOption,Explanation
42,IT21013965,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
43,IT21014532,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
44,IT21014532,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
45,IT21014532,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
46,IT21014776,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
47,IT21014776,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
48,IT21014776,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
49,IT21015220,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
50,IT21015220,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
51,IT21015220,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
52,IT21015693,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
53,IT21015693,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
54,IT21015693,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
55,IT21017970,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
56,IT21017970,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
57,IT21017970,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
58,IT21018131,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
59,IT21018131,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
60,IT21018131,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
61,IT21018148,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
62,IT21018148,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
63,IT21018148,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
64,IT21022952,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
65,IT21022952,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
66,IT21022952,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
67,IT21023088,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
68,IT21023088,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
69,IT21023088,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
70,IT21024320,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
71,IT21024320,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
72,IT21024320,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
73,IT21024689,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
74,IT21024689,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
75,IT21024689,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
76,IT21025361,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
77,IT21025361,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
78,IT21025361,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
79,IT21027832,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
80,IT21027832,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
81,IT21027832,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
82,IT21028954,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
83,IT21028954,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
84,IT21028954,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
85,IT21031441,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
86,IT21031441,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
87,IT21031441,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
88,IT21031835,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 1: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
89,IT21031835,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 2: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
90,IT21031835,Data Analyst,Hypothesis Testing,Easy,[DUMMY] Question 3: This is a placeholder question generated for this skill.,Option A,Option B,Option C,Option D,A,This is a placeholder explanation. Replace this with LLM-generated content.
